"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtAdmissao";"eSocial";"G";"-";"1";"-";"-";"Evento Cadastramento Inicial do Vínculo e Admissão/Ingresso de Trabalhador.
Regras de validação:
REGRA_ADMISSAO_POSTERIOR_INICIO_ATIVIDADES
REGRA_ADMISSAO_VALIDA_DT_ADM
REGRA_ADMISSAO_VALIDA_DURACAO_CONTRATO
REGRA_BLOQUEIA_USO_CPF_EMPREGADOR
REGRA_COMPATIBILIDADE_CATEGORIA_CLASSTRIB
REGRA_COMPATIB_CATEG_EVENTO
REGRA_EMPREGADO_DOMESTICO
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVETRAB_VALIDA_OPCAO_FGTS
REGRA_EXCLUSAO_ADMISSAO_TSVE_INICIO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_DOMESTICO
REGRA_EXTEMP_REINTEGRACAO
REGRA_GERAL_VALIDA_DADOS_TABCONTRIB
REGRA_MESMO_PROCEMI
REGRA_MUDANCA_CPF
REGRA_REGISTRO_PRELIMINAR
REGRA_RETIFICA_MESMO_VINCULO
REGRA_VALIDA_EMPREGADOR
REGRA_VALIDA_MATRICULA
REGRA_VALIDA_TRABALHADOR_BASE_CPF"
"3";"Id";"evtAdmissao";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtAdmissao";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"8";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
9 - Aplicativo governamental - Integração com a Junta Comercial
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"9";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"10";"ideEmpregador";"evtAdmissao";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"11";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"12";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"13";"trabalhador";"evtAdmissao";"G";"-";"1";"-";"-";"Informações pessoais do trabalhador."
"14";"cpfTrab";"trabalhador";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador."
"15";"nmTrab";"trabalhador";"E";"C";"1";"2-70";"-";"Informar o nome do trabalhador."
"16";"sexo";"trabalhador";"E";"C";"1";"1";"-";"Sexo do trabalhador.
Valores válidos:
M - Masculino
F - Feminino"
"17";"racaCor";"trabalhador";"E";"N";"1";"1";"-";"Raça e cor do trabalhador.
Valores válidos:
1 - Branca
2 - Preta
3 - Parda
4 - Amarela
5 - Indígena
6 - Não informado"
"18";"estCiv";"trabalhador";"E";"N";"0-1";"1";"-";"Estado civil do trabalhador.
Valores válidos:
1 - Solteiro
2 - Casado
3 - Divorciado
4 - Separado
5 - Viúvo"
"19";"grauInstr";"trabalhador";"E";"C";"1";"2";"-";"Grau de instrução do trabalhador.
Valores válidos:
01 - Analfabeto, inclusive o que, embora tenha recebido instrução, não se alfabetizou
02 - Até o 5º ano incompleto do ensino fundamental (antiga 4ª série) ou que se tenha alfabetizado sem ter frequentado escola regular
03 - 5º ano completo do ensino fundamental
04 - Do 6º ao 9º ano do ensino fundamental incompleto (antiga 5ª a 8ª série)
05 - Ensino fundamental completo
06 - Ensino médio incompleto
07 - Ensino médio completo
08 - Educação superior incompleta
09 - Educação superior completa
10 - Pós-graduação completa
11 - Mestrado completo
12 - Doutorado completo"
"20";"nmSoc";"trabalhador";"E";"C";"0-1";"2-70";"-";"Nome social para travesti ou transexual."
"21";"nascimento";"trabalhador";"G";"-";"1";"-";"-";"Grupo de informações do nascimento do trabalhador."
"22";"dtNascto";"nascimento";"E";"D";"1";"-";"-";"Preencher com a data de nascimento."
"23";"paisNascto";"nascimento";"E";"C";"1";"3";"-";"Preencher com o código do país de nascimento do trabalhador.
Validação: Deve ser um código válido e existente na Tabela 06."
"24";"paisNac";"nascimento";"E";"C";"1";"3";"-";"Preencher com o código do país de nacionalidade do trabalhador.
Validação: Deve ser um código válido e existente na Tabela 06."
"25";"endereco";"trabalhador";"CG";"-";"0-1";"-";"-";"Grupo de informações do endereço do trabalhador."
"26";"brasil";"endereco";"G";"-";"0-1";"-";"-";"Endereço no Brasil."
"27";"tpLograd";"brasil";"E";"C";"0-1";"1-4";"-";"Tipo de logradouro.
Validação: Se informado, deve ser um código válido e existente na Tabela 20."
"28";"dscLograd";"brasil";"E";"C";"1";"1-100";"-";"Descrição do logradouro."
"29";"nrLograd";"brasil";"E";"C";"1";"1-10";"-";"Número do logradouro.
Se não houver número a ser informado, preencher com "S/N"."
"30";"complemento";"brasil";"E";"C";"0-1";"1-30";"-";"Complemento do logradouro."
"31";"bairro";"brasil";"E";"C";"0-1";"1-90";"-";"Nome do bairro/distrito."
