"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtBasesFGTS";"eSocial";"G";"-";"1";"-";"-";"Evento Informações do FGTS por Trabalhador."
"3";"Id";"evtBasesFGTS";"A";"C";"1";"36";"-";"Identificação única do evento."
"4";"ideEvento";"evtBasesFGTS";"G";"-";"1";"-";"-";"Identificação do evento de retorno."
"5";"nrRecArqBase";"ideEvento";"E";"C";"1";"23";"-";"Preencher com o número do recibo do arquivo que deu origem ao presente arquivo de retorno ao empregador.
Validação: Deve ser um recibo de entrega válido, correspondente ao arquivo que deu origem ao presente arquivo de retorno (S-1200, S-2299, S-2399 ou S-3000)."
"6";"indApuracao";"ideEvento";"E";"N";"1";"1";"-";"Indicativo de período de apuração.
Valores válidos:
1 - Mensal
2 - Anual (13° salário)"
"7";"perApur";"ideEvento";"E";"C";"1";"4 ou 7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações, se indApuracao for igual a [1], ou apenas o ano (formato AAAA), se indApuracao for igual a [2]."
"8";"ideEmpregador";"evtBasesFGTS";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"9";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"10";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"11";"ideTrabalhador";"evtBasesFGTS";"G";"-";"1";"-";"-";"Grupo que apresenta a identificação básica do trabalhador ao qual se refere o evento de retorno."
"12";"cpfTrab";"ideTrabalhador";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador.
Validação: Deve ser um CPF constante no arquivo gerado pelo empregador no evento de origem."
"13";"infoFGTS";"evtBasesFGTS";"G";"-";"1";"-";"-";"Informações relativas ao Fundo de Garantia do Tempo de Serviço - FGTS."
