"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtBasesTrab";"eSocial";"G";"-";"1";"-";"-";"Evento Informações das Contribuições Sociais por Trabalhador."
"3";"Id";"evtBasesTrab";"A";"C";"1";"36";"-";"Identificação única do evento."
"4";"ideEvento";"evtBasesTrab";"G";"-";"1";"-";"-";"Identificação do evento de retorno."
"5";"nrRecArqBase";"ideEvento";"E";"C";"1";"23";"-";"Preencher com o número do recibo do arquivo que deu origem ao presente arquivo de retorno ao empregador.
Validação: Deve ser um recibo de entrega válido, correspondente ao arquivo que deu origem ao presente arquivo de retorno (S-1200, S-2299, S-2399 ou S-3000)."
"6";"indApuracao";"ideEvento";"E";"N";"1";"1";"-";"Indicativo de período de apuração.
Valores válidos:
1 - Mensal
2 - Anual (13° salário)"
"7";"perApur";"ideEvento";"E";"C";"1";"4 ou 7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações, se indApuracao for igual a [1], ou apenas o ano (formato AAAA), se indApuracao for igual a [2]."
"8";"ideEmpregador";"evtBasesTrab";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"9";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"10";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"11";"ideTrabalhador";"evtBasesTrab";"G";"-";"1";"-";"-";"Identificação do trabalhador."
"12";"cpfTrab";"ideTrabalhador";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador.
Validação: Deve ser um CPF constante no arquivo gerado pelo empregador no evento de origem."
"13";"infoCompl";"ideTrabalhador";"G";"-";"0-1";"-";"-";"Informações complementares do trabalhador e do contrato."
"14";"sucessaoVinc";"infoCompl";"G";"-";"0-1";"-";"-";"Grupo de informações da sucessão de vínculo trabalhista.
Evento de origem: S-1200."
"15";"tpInsc";"sucessaoVinc";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"16";"nrInsc";"sucessaoVinc";"E";"C";"1";"11 ou 14";"-";"Informar o número de inscrição do empregador anterior, de acordo com o tipo de inscrição indicado no campo sucessaoVinc/tpInsc."
"17";"matricAnt";"sucessaoVinc";"E";"C";"0-1";"1-30";"-";"Matrícula do trabalhador no empregador anterior."
"18";"dtAdm";"sucessaoVinc";"E";"D";"1";"-";"-";"Preencher com a data de admissão do trabalhador. No caso de transferência do empregado, deve ser preenchida a data inicial do vínculo no primeiro empregador (data de início do vínculo)."
"19";"infoInterm";"infoCompl";"G";"-";"0-31";"-";"-";"Informações relativas ao trabalho intermitente.
Evento de origem: S-1200 ou S-2299."
"20";"dia";"infoInterm";"E";"N";"1";"1-2";"-";"Dia do mês efetivamente trabalhado pelo empregado com contrato de trabalho intermitente."
"21";"infoComplCont";"infoCompl";"G";"-";"0-N";"-";"-";"Informações complementares contratuais do trabalhador.
Evento de origem: S-1200."
"22";"codCBO";"infoComplCont";"E";"C";"1";"6";"-";"Classificação Brasileira de Ocupações - CBO."
"23";"natAtividade";"infoComplCont";"E";"N";"0-1";"1";"-";"Natureza da atividade.
Valores válidos:
1 - Trabalho urbano
2 - Trabalho rural"
"24";"qtdDiasTrab";"infoComplCont";"E";"N";"0-1";"1-2";"-";"Informação prestada exclusivamente pelo segurado especial em caso de contratação de contribuinte individual, indicando a quantidade de dias trabalhados pelo mesmo."
