"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtCS";"eSocial";"G";"-";"1";"-";"-";"Evento Informações das Contribuições Sociais Consolidadas por Contribuinte."
"3";"Id";"evtCS";"A";"C";"1";"36";"-";"Identificação única do evento."
"4";"ideEvento";"evtCS";"G";"-";"1";"-";"-";"Identificação do evento de retorno.
Evento de origem: S-1299."
"5";"indApuracao";"ideEvento";"E";"N";"1";"1";"-";"Indicativo de período de apuração.
Valores válidos:
1 - Mensal
2 - Anual (13° salário)"
"6";"perApur";"ideEvento";"E";"C";"1";"4 ou 7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações, se indApuracao for igual a [1], ou apenas o ano (formato AAAA), se indApuracao for igual a [2]."
"7";"ideEmpregador";"evtCS";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"8";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"9";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"10";"infoCS";"evtCS";"G";"-";"1";"-";"-";"Informações relativas às contribuições sociais devidas à Previdência Social e a Outras Entidades e Fundos."
"11";"nrRecArqBase";"infoCS";"E";"C";"1";"23";"-";"Preencher com o número do recibo do arquivo que deu origem ao presente arquivo de retorno ao empregador.
Validação: Deve ser um recibo de entrega válido, correspondente ao arquivo que deu origem ao presente arquivo de retorno (S-1299)."
"12";"indExistInfo";"infoCS";"E";"N";"1";"1";"-";"Indicativo de existência de valores de bases e de contribuições sociais.
Valores válidos:
1 - Há informações com apuração de contribuições sociais
2 - Há movimento, porém sem apuração de contribuições sociais
3 - Não há movimento no período informado em perApur"
"13";"infoCPSeg";"infoCS";"G";"-";"0-1";"-";"-";"Informações de contribuição previdenciária do segurado."
"14";"vrDescCP";"infoCPSeg";"E";"N";"1";"1-14";"2";"Valor total da contribuição descontada dos segurados.
Origem: campo valor de S-5001, quando tpValor em S-5001 = [21]."
"15";"vrCpSeg";"infoCPSeg";"E";"N";"1";"1-14";"2";"Valor total calculado relativo à contribuição dos segurados.
Origem: campo vrCpSeg de S-5001."
"16";"infoContrib";"infoCS";"G";"-";"1";"-";"-";"Informações gerais do contribuinte necessárias à apuração das contribuições sociais."
"17";"classTrib";"infoContrib";"E";"C";"1";"2";"-";"Preencher com o código correspondente à classificação tributária do contribuinte, conforme Tabela 08.
Evento de origem: S-1000."
"18";"infoPJ";"infoContrib";"G";"-";"0-1";"-";"-";"Informações complementares, exclusivas da Pessoa Jurídica."
"19";"indCoop";"infoPJ";"E";"N";"0-1";"1";"-";"Indicativo de cooperativa.
Valores válidos:
0 - Não é cooperativa
1 - Cooperativa de trabalho
2 - Cooperativa de produção
3 - Outras cooperativas
Evento de origem: S-1000."
"20";"indConstr";"infoPJ";"E";"N";"1";"1";"-";"Indicativo de construtora.
Valores válidos:
0 - Não é construtora
1 - Empresa construtora
Evento de origem: S-1000."
"21";"indSubstPatr";"infoPJ";"E";"N";"0-1";"1";"-";"Indicativo de substituição da contribuição previdenciária patronal.
Valores válidos:
1 - Integralmente substituída
2 - Parcialmente substituída
Origem: campo indSubstPatr de S-1280."
"22";"percRedContrib";"infoPJ";"E";"N";"0-1";"1-5";"2";"Percentual de redução da contribuição prevista na Lei 12.546/2011.
Evento de origem: S-1280."
"23";"percTransf";"infoPJ";"E";"N";"0-1";"1";"-";"Percentual de contribuição social - Lei 11.096/2005.
Valores válidos:
1 - 0,2000
2 - 0,4000
3 - 0,6000
4 - 0,8000
5 - 1,0000
Evento de origem: S-1280."
"24";"indTribFolhaPisCofins";"infoPJ";"E";"C";"0-1";"1";"-";"Indicador de tributação sobre a folha de pagamento - PIS e COFINS.
Valores válidos:
S - Sim
Evento de origem: S-1000."
"25";"infoAtConc";"infoPJ";"G";"-";"0-1";"-";"-";"Informações prestadas por empresa enquadrada no regime de tributação Simples Nacional com tributação previdenciária substituída e não substituída."
"26";"fatorMes";"infoAtConc";"E";"N";"1";"1-5";"2";"Informe o fator a ser utilizado para cálculo da contribuição patronal do mês dos trabalhadores envolvidos na execução das atividades enquadradas no Anexo IV em conjunto com as dos Anexos I a III e V da Lei Complementar 123/2006.
Evento de origem: S-1280."
"27";"fator13";"infoAtConc";"E";"N";"1";"1-5";"2";"Informe o fator a ser utilizado para cálculo da contribuição patronal do décimo terceiro dos trabalhadores envolvidos na execução das atividades enquadradas no Anexo IV em conjunto com as dos Anexos I a III e V da Lei Complementar 123/2006.
Evento de origem: S-1280."
"28";"ideEstab";"infoCS";"G";"-";"0-N";"-";"-";"Informações de identificação do estabelecimento ou obra de construção civil."
"29";"tpInsc";"ideEstab";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF
3 - CAEPF
4 - CNO"
"30";"nrInsc";"ideEstab";"E";"C";"1";"11, 12 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEstab/tpInsc.
Evento de origem: S-1260, S-1270 ou S-5001."
"31";"infoEstab";"ideEstab";"G";"-";"0-1";"-";"-";"Informações relativas a cada estabelecimento, necessárias à apuração das contribuições sociais."
"32";"cnaePrep";"infoEstab";"E";"N";"1";"7";"-";"Preencher com o código CNAE, conforme informado em S-1005.
Evento de origem: S-1005."
"33";"cnpjResp";"infoEstab";"E";"C";"0-1";"14";"-";"Preencher com o CNPJ responsável pela inscrição no cadastro de obras da RFB.
Evento de origem: S-1005."
"34";"aliqRat";"infoEstab";"E";"N";"1";"1";"-";"Informar a alíquota RAT.
Valores válidos: 1, 2, 3
Validação: Deve corresponder à alíquota declarada no evento S-1005. Caso não haja informação, retornar a alíquota definida na legislação vigente para o código CNAE informado."
"35";"fap";"infoEstab";"E";"N";"0-1";"1-5";"4";"Fator Acidentário de Prevenção - FAP.
Validação: Informação obrigatória e exclusiva se ideEmpregador/tpInsc = [1]. Deve corresponder ao FAP estabelecido para a empresa pelo órgão governamental competente, exceto se:
a) ideEstab/tpInsc = [4] e se não existir o campo cnpjResp; ou
b) ideEstab/tpInsc = [1, 4] e se houver informação de procAdmJudFap em S-1005; ou
c) ideEstab/tpInsc = [1, 4] e o estabelecimento ou o CNPJ responsável pela inscrição no CNO não for encontrado na tabela FAP referente ao ano de perApur.
Caso haja alguma exceção acima, retornar o FAP declarado no evento S-1005."
"36";"aliqRatAjust";"infoEstab";"E";"N";"0-1";"1-5";"4";"Alíquota do RAT após ajuste pelo FAP.
Validação: Informação obrigatória e exclusiva se ideEmpregador/tpInsc = [1]. Deve corresponder ao resultado da multiplicação dos campos infoEstab/aliqRat e infoEstab/fap."
"37";"infoEstabRef";"infoEstab";"G";"-";"0-1";"-";"-";" Informações de RAT e FAP de referência, nos casos de processo administrativo ou judicial que altere a(s) alíquota(s)."
"38";"aliqRat";"infoEstabRef";"E";"N";"1";"1";"-";"Retornar a alíquota RAT definida na legislação vigente.
Valores válidos: 1, 2, 3
Validação: Deve corresponder à alíquota definida na legislação vigente para o código CNAE informado em S-1005."
"39";"fap";"infoEstabRef";"E";"N";"0-1";"1-5";"4";"Fator Acidentário de Prevenção - FAP estabelecido pelo órgão governamental competente.
Validação: Informação obrigatória e exclusiva se ideEmpregador/tpInsc = [1]. Deve corresponder ao FAP estabelecido para a empresa pelo órgão governamental competente."
"40";"aliqRatAjust";"infoEstabRef";"E";"N";"0-1";"1-5";"4";"Alíquota de referência - RAT após ajuste pelo FAP.
Validação: Informação obrigatória e exclusiva se ideEmpregador/tpInsc = [1]. Deve corresponder ao resultado da multiplicação dos campos infoEstabRef/aliqRat e infoEstabRef/fap."
"41";"infoComplObra";"infoEstab";"G";"-";"0-1";"-";"-";"Informações complementares relativas a obras de construção civil."
"42";"indSubstPatrObra";"infoComplObra";"E";"N";"1";"1";"-";"Indicativo de substituição da contribuição patronal de obra de construção civil.
Valores válidos:
1 - Contribuição patronal substituída
2 - Contribuição patronal não substituída
Origem: campo indSubstPatrObra de S-1005."
"43";"ideLotacao";"ideEstab";"G";"-";"0-N";"-";"-";"Identificação da lotação tributária."
"44";"codLotacao";"ideLotacao";"E";"C";"1";"1-30";"-";"Informar o código atribuído pelo empregador para a lotação tributária.
Evento de origem: S-1270 ou S-5001."
"45";"fpas";"ideLotacao";"E";"N";"1";"3";"-";"Preencher com o código relativo ao FPAS.
Evento de origem: S-1020."
"46";"codTercs";"ideLotacao";"E";"C";"1";"4";"-";"Preencher com o código de Terceiros, conforme Tabela 04.
Evento de origem: S-1020."
"47";"codTercsSusp";"ideLotacao";"E";"C";"0-1";"4";"-";"Informar o código combinado dos Terceiros para os quais o recolhimento está suspenso em virtude de processos judiciais.
Evento de origem: S-1020."
"48";"infoTercSusp";"ideLotacao";"G";"-";"0-15";"-";"-";"Informações de suspensão de contribuições destinadas a Outras Entidades e Fundos (Terceiros)."
"49";"codTerc";"infoTercSusp";"E";"C";"1";"4";"-";"Informar o código de Terceiro.
Origem: campo codTerc de S-1020."
"50";"infoEmprParcial";"ideLotacao";"G";"-";"0-1";"-";"-";"Informação complementar que apresenta identificação do contratante e do proprietário de obra de construção civil contratada sob regime de empreitada parcial ou subempreitada.
Evento de origem: S-1020."
"51";"tpInscContrat";"infoEmprParcial";"E";"N";"1";"1";"-";"Tipo de inscrição do contratante.
Valores válidos:
1 - CNPJ
2 - CPF"
"52";"nrInscContrat";"infoEmprParcial";"E";"C";"1";"11 ou 14";"-";"Número de inscrição (CNPJ/CPF) do contratante."
"53";"tpInscProp";"infoEmprParcial";"E";"N";"1";"1";"-";"Tipo de inscrição do proprietário do CNO.
Valores válidos:
1 - CNPJ
2 - CPF
Validação: Retornar o tipo de inscrição do proprietário no CNO. Caso não tenha sido encontrado, retornar tpInscProp de S-1020. Se o tipo de inscrição do proprietário no CNO não for encontrado e se não houver informação de tpInscProp em S-1020, retornar tpInscContrat."
"54";"nrInscProp";"infoEmprParcial";"E";"C";"1";"11 ou 14";"-";"Preencher com o número de inscrição (CNPJ/CPF) do proprietário do CNO.
Validação: Retornar o número de inscrição do proprietário no CNO. Caso não tenha sido encontrado, retornar nrInscProp de S-1020. Se o número de inscrição do proprietário no CNO não for encontrado e se não houver informação de nrInscProp em S-1020, retornar nrInscContrat."
"55";"cnoObra";"infoEmprParcial";"E";"C";"1";"12";"-";"Número do CNO da obra."
"56";"dadosOpPort";"ideLotacao";"G";"-";"0-1";"-";"-";"Informações relativas ao operador portuário."
"57";"cnpjOpPortuario";"dadosOpPort";"E";"C";"1";"14";"-";"Preencher com o CNPJ do operador portuário.
Origem: campo dadosLotacao/nrInsc de S-1020."
"58";"aliqRat";"dadosOpPort";"E";"N";"1";"1";"-";"Informar a alíquota RAT.
Valores válidos: 1, 2, 3
Origem: campo dadosOpPort/aliqRat de S-1020."
"59";"fap";"dadosOpPort";"E";"N";"1";"1-5";"4";"Fator Acidentário de Prevenção - FAP.
Origem: campo dadosOpPort/fap de S-1020."
"60";"aliqRatAjust";"dadosOpPort";"E";"N";"1";"1-5";"4";"Alíquota do RAT após ajuste pelo FAP.
Validação: Deve corresponder ao resultado da multiplicação dos campos dadosOpPort/aliqRat e dadosOpPort/fap."
"61";"basesRemun";"ideLotacao";"G";"-";"0-99";"-";"-";"Bases de cálculo da contribuição previdenciária incidente sobre remunerações, por categoria."
