"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtCdBenIn";"eSocial";"G";"-";"1";"-";"-";"Evento Cadastro de Benefício - Entes Públicos - Início.
Regras de validação:
REGRA_BENEFICIO_VALIDA_NUMERO
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_REATIVACAO
REGRA_MUDANCA_CPF
REGRA_RETIFICA_MESMO_BENEFICIO
REGRA_VALIDA_CNPJ"
"3";"Id";"evtCdBenIn";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtCdBenIn";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"8";"procEmi";"ideEvento";"E";"N";"1";"1";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica"
"9";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"10";"ideEmpregador";"evtCdBenIn";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"11";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ"
"12";"nrInsc";"ideEmpregador";"E";"C";"1";"8 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"13";"beneficiario";"evtCdBenIn";"G";"-";"1";"-";"-";"Informações do beneficiário."
"14";"cpfBenef";"beneficiario";"E";"C";"1";"11";"-";"Informar o CPF do beneficiário.
Validação: Deve observar o que segue:
a) Se cadIni = [S], deve estar cadastrado no evento S-2400 com data de início igual à data de obrigatoriedade dos eventos não periódicos para o ente público no eSocial;
b) Se indSitBenef = [1], deve estar cadastrado no evento S-2400 com data de início igual ou anterior a dtIniBeneficio (ou a dtPublic, caso este campo tenha sido informado);
c) Se indSitBenef = [2, 3], deve estar cadastrado no evento S-2400 com data de início igual ou anterior a dtTransf ou dtAltCPF, respectivamente."
"15";"matricula";"beneficiario";"E";"C";"0-1";"1-30";"-";"Matrícula do servidor/militar constante no Sistema de Administração de Recursos Humanos do órgão cujo vínculo deu ensejo ao benefício. No caso de pensão por morte, informar a matrícula do instituidor da pensão.
Validação: Informação obrigatória se cadIni = [N] e tpBeneficio pertencer ao grupo [01, 02, 03, 04, 05, 06, 11] da Tabela 25.
Regra de validação:
REGRA_CARACTERE_ESPECIAL"
"16";"cnpjOrigem";"beneficiario";"E";"C";"0-1";"14";"-";"Preencher com o CNPJ do órgão público responsável pela matrícula do servidor/militar. Informação obrigatória se cadIni = [N], desde que haja informação de matrícula.
Validação: Preenchimento obrigatório se cadIni = [N] e houver informação de matricula, exceto se existir vínculo (evento S-2200) no órgão declarante para o beneficiário (indicado em cpfBenef e matricula) ou, se tpBeneficio pertencer ao grupo [06] da Tabela 25, para o instituidor da pensão por morte (indicado em cpfInst e matricula).
Se informado, deve ser um CNPJ válido, com 14 (catorze) algarismos."
"17";"infoBenInicio";"evtCdBenIn";"G";"-";"1";"-";"-";"Informações do benefício - Início."
"18";"cadIni";"infoBenInicio";"E";"C";"1";"1";"-";"Indicar se a data de início do benefício é anterior à obrigatoriedade dos eventos não periódicos para o ente público no eSocial.
Valores válidos:
S - Sim
N - Não"
"19";"indSitBenef";"infoBenInicio";"E";"N";"0-1";"1";"-";"Indicar a situação do benefício no órgão declarante.
Valores válidos:
1 - Benefício concedido pelo próprio órgão declarante
2 - Benefício transferido de outro órgão
3 - Mudança de CPF do beneficiário
Validação: Preenchimento obrigatório e exclusivo se cadIni = [N]."
"20";"nrBeneficio";"infoBenInicio";"E";"C";"1";"1-20";"-";"Número do benefício.
Regra de validação:
REGRA_CARACTERE_ESPECIAL"
