"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtCdBenTerm";"eSocial";"G";"-";"1";"-";"-";"Evento Cadastro de Benefício - Entes Públicos - Término.
Regras de validação:
REGRA_BENEFICIO_ATIVO_NA_DTEVENTO
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_REATIVACAO
REGRA_MUDANCA_CPF
REGRA_RETIFICA_MESMO_BENEFICIO
REGRA_VALIDA_CNPJ"
"3";"Id";"evtCdBenTerm";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtCdBenTerm";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"8";"procEmi";"ideEvento";"E";"N";"1";"1";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica"
"9";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"10";"ideEmpregador";"evtCdBenTerm";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"11";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ"
"12";"nrInsc";"ideEmpregador";"E";"C";"1";"8 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"13";"ideBeneficio";"evtCdBenTerm";"G";"-";"1";"-";"-";"Identificação do beneficiário e do benefício."
"14";"cpfBenef";"ideBeneficio";"E";"C";"1";"11";"-";"Informar o CPF do beneficiário."
"15";"nrBeneficio";"ideBeneficio";"E";"C";"1";"1-20";"-";"Número do benefício."
"16";"infoBenTermino";"evtCdBenTerm";"G";"-";"1";"-";"-";"Informações da cessação do benefício."
"17";"dtTermBeneficio";"infoBenTermino";"E";"D";"1";"-";"-";"Data de cessação do benefício.
Validação: Deve ser igual ou anterior à data atual. No caso de benefício reativado, também deve ser uma data igual ou posterior a dtEfetReativ do evento S-2418."
"18";"mtvTermino";"infoBenTermino";"E";"C";"1";"2";"-";"Motivo da cessação do benefício.
Validação: Deve ser um código válido e existente na Tabela 26."
"19";"cnpjOrgaoSuc";"infoBenTermino";"E";"C";"0-1";"14";"-";"Informar o CNPJ do órgão público sucessor.
Validação: Preenchimento obrigatório e exclusivo se mtvTermino = [09].
Deve ser um CNPJ válido e diferente da inscrição do declarante, considerando as particularidades aplicadas à informação de CNPJ de órgão público em S-1000. Além disso, deve possuir 14 (catorze) algarismos e ser diferente do CNPJ base do órgão público declarante (exceto se ideEmpregador/nrInsc tiver 14 (catorze) algarismos) e dos estabelecimentos informados através do evento S-1005."
"20";"novoCPF";"infoBenTermino";"E";"C";"0-1";"11";"-";"Preencher com o novo CPF do beneficiário.
Validação: Preenchimento obrigatório e exclusivo se mtvTermino = [10].
Deve ser um CPF válido e diferente do antigo CPF do beneficiário."
