"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtCessao";"eSocial";"G";"-";"1";"-";"-";"Evento Cessão/Exercício em Outro Órgão.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVENTO_EXT_SEM_IMPACTO_FOPAG
REGRA_EVENTO_POSTERIOR_CAT_OBITO
REGRA_EXCLUI_EVENTO_CESSAO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_REINTEGRACAO
REGRA_MESMO_PROCEMI
REGRA_RETIFICA_MESMO_VINCULO
REGRA_VINCULO_ATIVO_NA_DTEVENTO"
"3";"Id";"evtCessao";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtCessao";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"8";"procEmi";"ideEvento";"E";"N";"1";"1";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica"
"9";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"10";"ideEmpregador";"evtCessao";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"11";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ"
"12";"nrInsc";"ideEmpregador";"E";"C";"1";"8 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"13";"ideVinculo";"evtCessao";"G";"-";"1";"-";"-";"Informações de identificação do trabalhador e do vínculo."
"14";"cpfTrab";"ideVinculo";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador."
"15";"matricula";"ideVinculo";"E";"C";"1";"1-30";"-";"Matrícula atribuída ao trabalhador pela empresa ou, no caso de servidor público, a matrícula constante no Sistema de Administração de Recursos Humanos do órgão.
Validação: Deve corresponder à matrícula informada pelo empregador no evento S-2200 do respectivo vínculo trabalhista."
"16";"infoCessao";"evtCessao";"CG";"-";"1";"-";"-";"Informações da cessão/exercício em outro órgão."
"17";"iniCessao";"infoCessao";"G";"-";"0-1";"-";"-";"Informações de início da cessão/exercício em outro órgão."
"18";"dtIniCessao";"iniCessao";"E";"D";"1";"-";"-";"Data de início da cessão/exercício em outro órgão.
Validação: Deve-se obedecer às seguintes regras:
a) Não pode ser posterior à data atual;
b) Não pode existir evento de cessão/exercício em outro órgão (ou evento de afastamento pelo código de motivo de afastamento [14]) com data anterior a dtIniCessao sem que tenha sido encerrado."
"19";"cnpjCess";"iniCessao";"E";"C";"1";"14";"-";"Preencher com o CNPJ do empregador/órgão público cessionário/de destino.
Validação: Deve ser um CNPJ diferente do CNPJ do empregador/órgão público e diferente dos estabelecimentos informados através do evento S-1005.
Regra de validação:
REGRA_VALIDA_CNPJ"
"20";"respRemun";"iniCessao";"E";"C";"1";"1";"-";"Informar se o empregador/órgão público declarante continuará informando remunerações (S-1200/S-1202) do trabalhador cedido/em exercício em outro órgão.
Valores válidos:
S - Sim
N - Não"
"21";"fimCessao";"infoCessao";"G";"-";"0-1";"-";"-";"Informação de término da cessão/exercício em outro órgão.
Regra de validação:
REGRA_EXISTE_EVENTO_CESSAO"
"22";"dtTermCessao";"fimCessao";"E";"D";"1";"-";"-";"Preencher com a data de término da cessão/exercício em outro órgão.
Validação: Deve-se obedecer às seguintes regras:
a) Deve ser igual ou posterior à data de início da cessão/exercício em outro órgão;
b) Não pode ser posterior à data atual."
