"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtComProd";"eSocial";"G";"-";"1";"-";"-";"Evento Comercialização da Produção Rural Pessoa Física.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVE_FOPAG_COMERC_PROD
REGRA_EVE_FOPAG_IND_RETIFICACAO
REGRA_EVE_FOPAG_INFO_COMPAT_CLASSTRIB
REGRA_EVE_FOPAG_PERMITE_EXCLUSAO
REGRA_EVE_FOPAG_SIMPLIFICADO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_MESMO_PROCEMI
REGRA_VALIDA_EMPREGADOR"
"3";"Id";"evtComProd";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtComProd";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"perApur";"ideEvento";"E";"C";"1";"7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações.
Validação: Deve ser um mês/ano válido, igual ou posterior ao início da obrigatoriedade dos eventos periódicos para o empregador."
"8";"indGuia";"ideEvento";"E";"N";"0-1";"1";"-";"Indicativo do tipo de guia.
Valores válidos:
1 - Documento de Arrecadação do eSocial - DAE"
"9";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"10";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"11";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
