"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtDeslig";"eSocial";"G";"-";"1";"-";"-";"Evento Desligamento.
Regras de validação:
REGRA_DESLIG_EXCLUI_DESLIGAMENTO_REINTEG
REGRA_DESLIG_EXCLUSAO_EVENTO
REGRA_DESLIG_EXISTE_EVENTO_POSTERIOR
REGRA_DESLIG_JA_EXISTE_BAIXA
REGRA_DESLIG_TRABALHADOR_AFASTADO
REGRA_EMPREGADO_DOMESTICO
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVENTO_POSTERIOR_CAT_OBITO
REGRA_EVE_FOPAG_SIMPLIFICADO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_DOMESTICO
REGRA_EXTEMP_REINTEGRACAO
REGRA_GERAL_VALIDA_DADOS_TABCONTRIB
REGRA_MESMO_PROCEMI
REGRA_MUDANCA_CPF
REGRA_REMUN_FGTS_ANTERIOR_ESOCIAL
REGRA_REMUN_IND_RETIFICACAO
REGRA_REMUN_PERMITE_EXCLUSAO
REGRA_RETIFICA_MESMO_VINCULO
REGRA_RUBRICA_COMPATIVEL_CATEGORIA
REGRA_VALIDA_EMPREGADOR
REGRA_VALIDA_PERIODO_APURACAO
REGRA_VINCULO_ATIVO_NA_DTEVENTO"
"3";"Id";"evtDeslig";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtDeslig";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"indGuia";"ideEvento";"E";"N";"0-1";"1";"-";"Indicativo do tipo de guia.
Valores válidos:
1 - Documento de Arrecadação do eSocial - DAE"
"8";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"9";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"10";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"11";"ideEmpregador";"evtDeslig";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"12";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"13";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"14";"ideVinculo";"evtDeslig";"G";"-";"1";"-";"-";"Informações de identificação do trabalhador e do vínculo."
"15";"cpfTrab";"ideVinculo";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador."
"16";"matricula";"ideVinculo";"E";"C";"1";"1-30";"-";"Matrícula atribuída ao trabalhador pela empresa ou, no caso de servidor público, a matrícula constante no Sistema de Administração de Recursos Humanos do órgão.
Validação: Deve corresponder à matrícula informada pelo empregador no evento S-2200 do respectivo vínculo trabalhista."
"17";"infoDeslig";"evtDeslig";"G";"-";"1";"-";"-";"Informações relativas ao desligamento do vínculo."
"18";"mtvDeslig";"infoDeslig";"E";"C";"1";"2";"-";"Código de motivo do desligamento.
Validação: Deve ser um código válido e existente na Tabela 19, bem como compatível com o código de categoria do trabalhador, conforme Tabela 19."
"19";"dtDeslig";"infoDeslig";"E";"D";"1";"-";"-";"Preencher com a data de desligamento do vínculo (último dia trabalhado).
Validação: Deve ser uma data igual ou anterior à data atual acrescida de 10 (dez) dias. No caso de empregado reintegrado e quando não se tratar de retificação do desligamento anterior à reintegração, também deve ser uma data igual ou posterior a dtEfetRetorno do evento S-2298."
"20";"dtAvPrv";"infoDeslig";"E";"D";"0-1";"-";"-";"Data de concessão do aviso prévio.
Validação: Se informada, deve ser igual ou posterior à data de admissão e igual ou anterior a dtDeslig."
"21";"indPagtoAPI";"infoDeslig";"E";"C";"1";"1";"-";"Indicativo de pagamento de aviso prévio indenizado pelo empregador, ao empregado.
Valores válidos:
S - Sim
N - Não"
"22";"dtProjFimAPI";"infoDeslig";"E";"D";"0-1";"-";"-";"Data projetada para o término do aviso prévio indenizado.
Validação: Obrigatório se indPagtoAPI for igual a [S], devendo ser igual ou posterior a dtDeslig."
