"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtExclusao";"eSocial";"G";"-";"1";"-";"-";"Evento Exclusão de Eventos.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVE_EXCLUSAO_VALIDA_NRRECIBO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_DOMESTICO
REGRA_MESMO_PROCEMI
REGRA_VALIDA_EMPREGADOR"
"3";"Id";"evtExclusao";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtExclusao";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"6";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
8 - Aplicativo governamental para envio de eventos pelo Judiciário
9 - Aplicativo governamental - Integração com a Junta Comercial
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"7";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"8";"ideEmpregador";"evtExclusao";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"9";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"10";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"11";"infoExclusao";"evtExclusao";"G";"-";"1";"-";"-";"Grupo que identifica o evento objeto da exclusão."
"12";"tpEvento";"infoExclusao";"E";"C";"1";"6";"-";"Preencher com o tipo de evento. Ex.: S-1200, S-2200, etc."
"13";"nrRecEvt";"infoExclusao";"E";"C";"1";"23";"-";"Preencher com o número do recibo do evento que será excluído.
Validação: O recibo deve ser relativo ao mesmo tipo de evento indicado em tpEvento e o respectivo evento não deve constar como excluído ou retificado. Além disso, no caso de exclusão de eventos em que existe a identificação do trabalhador, o evento que está sendo excluído deve referir-se ao mesmo trabalhador identificado por cpfTrab."
"14";"ideTrabalhador";"infoExclusao";"G";"-";"0-1";"-";"-";"Grupo que identifica a qual trabalhador se refere o evento a ser excluído."
"15";"cpfTrab";"ideTrabalhador";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador ou do beneficiário.
Validação: O CPF indicado deve existir na base de dados do RET."
"16";"ideFolhaPagto";"infoExclusao";"G";"-";"0-1";"-";"-";"Grupo que identifica a qual período de apuração pertence o evento que será excluído."
"17";"indApuracao";"ideFolhaPagto";"E";"N";"0-1";"1";"-";"Indicativo de período de apuração.
Valores válidos:
1 - Mensal
2 - Anual (13° salário)
Validação: Preenchimento obrigatório e exclusivo se tpEvento = [S-1200, S-1202, S-1207, S-1280, S-1300]."
"18";"perApur";"ideFolhaPagto";"E";"C";"1";"4 ou 7";"-";"Informar o mês/ano (formato AAAA-MM) ou apenas o ano (formato AAAA) de referência das informações.
Validação: Deve ser um mês/ano ou ano válido, posterior à implementação do eSocial. Somente pode ser informado ano (formato AAAA) se indApuracao = [2]."
