"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtExpRisco";"eSocial";"G";"-";"1";"-";"-";"Evento Condições Ambientais do Trabalho - Agentes Nocivos.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVENTO_EXT_SEM_IMPACTO_FOPAG
REGRA_EVENTO_POSTERIOR_CAT_OBITO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_REINTEGRACAO
REGRA_GERAL_VALIDA_DADOS_TABCONTRIB
REGRA_MESMO_PROCEMI
REGRA_RETIFICA_MESMO_VINCULO
REGRA_TSV_ATIVO_NA_DTEVENTO
REGRA_VINCULO_ATIVO_NA_DTEVENTO"
"3";"Id";"evtExpRisco";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtExpRisco";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"8";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"9";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"10";"ideEmpregador";"evtExpRisco";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"11";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"12";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"13";"ideVinculo";"evtExpRisco";"G";"-";"1";"-";"-";"Informações de identificação do trabalhador e do vínculo."
"14";"cpfTrab";"ideVinculo";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador."
"15";"matricula";"ideVinculo";"E";"C";"0-1";"1-30";"-";"Matrícula atribuída ao trabalhador pela empresa ou, no caso de servidor público, a matrícula constante no Sistema de Administração de Recursos Humanos do órgão.
Validação: Deve corresponder à matrícula informada pelo empregador no evento S-2190, S-2200 ou S-2300 do respectivo contrato. Não preencher no caso de Trabalhador Sem Vínculo de Emprego/Estatutário - TSVE sem informação de matrícula no evento S-2300."
"16";"codCateg";"ideVinculo";"E";"N";"0-1";"3";"-";"Preencher com o código da categoria do trabalhador.
Informar somente no caso de TSVE sem informação de matrícula no evento S-2300.
Validação: Informação obrigatória e exclusiva se não houver preenchimento de matricula. Se informado, deve ser um código válido e existente na Tabela 01."
"17";"infoExpRisco";"evtExpRisco";"G";"-";"1";"-";"-";"Informações sobre o ambiente de trabalho, atividades desempenhadas e exposição a agentes nocivos.
Regra de validação:
REGRA_PERIODO_EXPOSICAO_RISCO"
"18";"dtIniCondicao";"infoExpRisco";"E";"D";"1";"-";"-";"Informar a data em que o trabalhador iniciou as atividades nas condições descritas ou a data de início da obrigatoriedade deste evento para o empregador no eSocial, a que for mais recente.
Validação: Deve ser uma data válida, igual ou posterior à data de admissão do vínculo a que se refere. Não pode ser anterior à data de início da obrigatoriedade deste evento para o empregador no eSocial, nem pode ser posterior a 30 (trinta) dias da data atual."
"19";"dtFimCondicao";"infoExpRisco";"E";"D";"0-1";"-";"-";"Informar a data em que o trabalhador terminou as atividades nas condições descritas.
Validação: Preenchimento obrigatório e exclusivo para trabalhador avulso (código de categoria no RET igual a [2XX]) e se dtIniCondicao for igual ou posterior a [2023-01-16]. Se informada, deve ser uma data válida, igual ou posterior a dtIniCondicao e igual ou anterior a dtTerm de S-2399, se existente."
"20";"infoAmb";"infoExpRisco";"G";"-";"1-9";"-";"-";"Informações relativas ao ambiente de trabalho. Somente no caso de trabalhador avulso (código de categoria no RET igual a [2XX]) é possível declarar mais de um ambiente.
Regra de validação:
REGRA_AMBIENTE_TRABALHO"
"21";"localAmb";"infoAmb";"E";"N";"1";"1";"-";"Informar o tipo de estabelecimento do ambiente de trabalho.
Valores válidos:
1 - Estabelecimento do próprio empregador
2 - Estabelecimento de terceiros"
"22";"dscSetor";"infoAmb";"E";"C";"1";"1-100";"-";"Descrição do lugar administrativo, na estrutura organizacional da empresa, onde o trabalhador exerce suas atividades laborais."
"23";"tpInsc";"infoAmb";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
3 - CAEPF
4 - CNO"
