"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtFGTS";"eSocial";"G";"-";"1";"-";"-";"Evento Informações do FGTS Consolidadas por Contribuinte."
"3";"Id";"evtFGTS";"A";"C";"1";"36";"-";"Identificação única do evento."
"4";"ideEvento";"evtFGTS";"G";"-";"1";"-";"-";"Identificação do evento de retorno.
Evento de origem: S-1299."
"5";"indApuracao";"ideEvento";"E";"N";"1";"1";"-";"Indicativo de período de apuração.
Valores válidos:
1 - Mensal
2 - Anual (13° salário)"
"6";"perApur";"ideEvento";"E";"C";"1";"4 ou 7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações, se indApuracao for igual a [1], ou apenas o ano (formato AAAA), se indApuracao for igual a [2]."
"7";"ideEmpregador";"evtFGTS";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"8";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"9";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"10";"infoFGTS";"evtFGTS";"G";"-";"1";"-";"-";"Informações relativas ao Fundo de Garantia do Tempo de Serviço - FGTS."
"11";"nrRecArqBase";"infoFGTS";"E";"C";"1";"23";"-";"Preencher com o número do recibo do arquivo que deu origem ao presente arquivo de retorno ao empregador.
Validação: Deve ser um recibo de entrega válido, correspondente ao arquivo que deu origem ao presente arquivo de retorno (S-1299)."
"12";"indExistInfo";"infoFGTS";"E";"N";"1";"1";"-";"Indicativo de existência de FGTS.
Valores válidos:
1 - Há informações de FGTS
2 - Há movimento, porém não há informações de FGTS
3 - Não há movimento no período informado em perApur"
"13";"ideEstab";"infoFGTS";"G";"-";"0-N";"-";"-";"Identificação do estabelecimento ou obra de construção civil."
"14";"tpInsc";"ideEstab";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF
3 - CAEPF
4 - CNO"
"15";"nrInsc";"ideEstab";"E";"C";"1";"11, 12 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEstab/tpInsc.
Evento de origem: S-1270 ou S-5003."
"16";"ideLotacao";"ideEstab";"G";"-";"1-N";"-";"-";"Identificação da lotação tributária."
"17";"codLotacao";"ideLotacao";"E";"C";"1";"1-30";"-";"Informar o código atribuído pelo empregador para a lotação tributária.
Evento de origem: S-1270 ou S-5003."
"18";"tpLotacao";"ideLotacao";"E";"C";"1";"2";"-";"Preencher com o código correspondente ao tipo de lotação, conforme Tabela 10.
Evento de origem: S-1020 ou S-5003."
"19";"tpInsc";"ideLotacao";"E";"N";"0-1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF
4 - CNO
Evento de origem: S-1020 ou S-5003."
"20";"nrInsc";"ideLotacao";"E";"C";"0-1";"11, 12 ou 14";"-";"Preencher com o número de inscrição (CNPJ, CPF, CNO) ao qual pertence a lotação tributária, conforme indicado na Tabela 10.
Evento de origem: S-1020 ou S-5003."
"21";"infoBaseFGTS";"ideLotacao";"G";"-";"0-1";"-";"-";"Informações referentes a bases de cálculo e valores do FGTS no estabelecimento/lotação."
"22";"basePerApur";"infoBaseFGTS";"G";"-";"0-99";"-";"-";"Informações consolidadas das bases de cálculo e valores do FGTS do período de apuração e de períodos anteriores, exceto se {tpAcConv} = [E, H].
Evento de origem: S-1270 ou S-5003."
