"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtInfoEmpregador";"eSocial";"G";"-";"1";"-";"-";"Evento Informações do Empregador.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_INFO_EMP_PERIODO_CONFLITANTE
REGRA_INFO_EMP_VALIDA_CLASSTRIB_NATJURID
REGRA_INFO_EMP_VALIDA_DTINICIAL
REGRA_TAB_PERMITE_EXCLUSAO
REGRA_VALIDA_DT_FUTURA
REGRA_VALIDA_EMPREGADOR"
"3";"Id";"evtInfoEmpregador";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtInfoEmpregador";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"6";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
9 - Aplicativo governamental - Integração com a Junta Comercial
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"7";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"8";"ideEmpregador";"evtInfoEmpregador";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"9";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"10";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo tpInsc.
Validação: Se tpInsc for igual a [1], deve ser um número de CNPJ válido. Neste caso, deve ser informada apenas a raiz/base (8 posições), exceto se a natureza jurídica do declarante for igual a 101-5, 104-0, 107-4, 116-3 ou 134-1, situação em que o campo deve ser preenchido com o CNPJ completo (14 posições).
Se tpInsc for igual a [2], deve ser um CPF válido."
"11";"infoEmpregador";"evtInfoEmpregador";"CG";"-";"1";"-";"-";"Identificação da operação (inclusão, alteração ou exclusão) e das respectivas informações do empregador."
"12";"inclusao";"infoEmpregador";"G";"-";"0-1";"-";"-";"Inclusão de novas informações."
"13";"idePeriodo";"inclusao";"G";"-";"1";"-";"-";"Período de validade das informações."
"14";"iniValid";"idePeriodo";"E";"C";"1";"7";"-";"Preencher com o mês e ano de início da validade das informações prestadas no evento, no formato AAAA-MM.
Validação: Deve ser uma data válida, igual ou posterior à data de início de obrigatoriedade deste evento para o empregador no eSocial, no formato AAAA-MM."
"15";"fimValid";"idePeriodo";"E";"C";"0-1";"7";"-";"Preencher com o mês e ano de término da validade das informações, se houver.
Validação: Se informado, deve estar no formato AAAA-MM e ser um período igual ou posterior a iniValid."
"16";"infoCadastro";"inclusao";"G";"-";"1";"-";"-";"Detalhamento das informações do empregador."
"17";"classTrib";"infoCadastro";"E";"C";"1";"2";"-";"Preencher com o código correspondente à classificação tributária do contribuinte.
Validação: Deve ser um código válido e existente na Tabela 08. Os códigos [21] e [22] somente podem ser utilizados se tpInsc for igual a [2]. Para os demais códigos, tpInsc deve ser igual a [1]."
