"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtIrrfBenef";"eSocial";"G";"-";"1";"-";"-";"Evento Imposto de Renda Retido na Fonte por Trabalhador."
"3";"Id";"evtIrrfBenef";"A";"C";"1";"36";"-";"Identificação única do evento."
"4";"ideEvento";"evtIrrfBenef";"G";"-";"1";"-";"-";"Identificação do evento de retorno."
"5";"nrRecArqBase";"ideEvento";"E";"C";"1";"23";"-";"Preencher com o número do recibo do arquivo que deu origem ao presente arquivo de retorno ao empregador.
Validação: Deve corresponder ao recibo de um arquivo com informações de rendimentos sujeitos a Imposto de Renda Retido na Fonte - IRRF (S-1210 ou S-3000)."
"6";"perApur";"ideEvento";"E";"C";"1";"7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações."
"7";"ideEmpregador";"evtIrrfBenef";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"8";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"9";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"10";"ideTrabalhador";"evtIrrfBenef";"G";"-";"1";"-";"-";"Identificação do beneficiário do pagamento."
"11";"cpfBenef";"ideTrabalhador";"E";"C";"1";"11";"-";"Número de inscrição no Cadastro de Pessoas Físicas - CPF do beneficiário do pagamento.
Origem: campo cpfBenef de S-1210."
"12";"dmDev";"ideTrabalhador";"G";"-";"1-N";"-";"-";"Informações do demonstrativo de valores devidos."
"13";"perRef";"dmDev";"E";"C";"1";"4 ou 7";"-";"Período de referência das informações, no formato AAAA-MM (ou AAAA, se for relativo a 13° salário).
Origem: campo perRef de S-1210."
"14";"ideDmDev";"dmDev";"E";"C";"1";"1-30";"-";"Identificador atribuído pela fonte pagadora para o demonstrativo de valores devidos ao trabalhador.
Origem: campo ideDmDev de S-1210."
"15";"tpPgto";"dmDev";"E";"N";"1";"1";"-";"Informar o evento de origem do pagamento.
Valores válidos:
1 - S-1200
2 - S-2299
3 - S-2399
4 - S-1202
5 - S-1207
Origem: campo tpPgto de S-1210."
"16";"dtPgto";"dmDev";"E";"D";"1";"-";"-";"Informar a data de pagamento.
Origem: campo dtPgto de S-1210."
"17";"codCateg";"dmDev";"E";"N";"1";"3";"-";"Preencher com o código da categoria do trabalhador, conforme Tabela 01.
Validação: a) Se tpPgto = [1, 4], retornar o código de categoria informado no evento de origem;
b) Se tpPgto = [2, 3], retornar o código de categoria existente no Registro de Eventos Trabalhistas - RET;
c) Se tpPgto = [5], retornar [000]."
