"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtPgtos";"eSocial";"G";"-";"1";"-";"-";"Evento Pagamentos de Rendimentos do Trabalho.
Regras de validação:
REGRA_CONTROLE_DUPLICIDADE
REGRA_EMPREGADO_DOMESTICO
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVE_FOPAG_SIMPLIFICADO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_MESMO_PROCEMI
REGRA_PAGTO_IND_RETIFICACAO
REGRA_PAGTO_PERMITE_EXCLUSAO
REGRA_VALIDA_DT_PGTO
REGRA_VALIDA_EMPREGADOR
REGRA_VALIDA_PER_APUR_PGTO"
"3";"Id";"evtPgtos";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtPgtos";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"perApur";"ideEvento";"E";"C";"1";"7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações.
Validação: Deve ser um mês/ano válido, igual ou posterior ao início da obrigatoriedade dos eventos periódicos para o empregador."
"8";"indGuia";"ideEvento";"E";"N";"0-1";"1";"-";"Indicativo do tipo de guia.
Valores válidos:
1 - Documento de Arrecadação do eSocial - DAE"
"9";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"10";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"11";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"12";"ideEmpregador";"evtPgtos";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"13";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"14";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"15";"ideBenef";"evtPgtos";"G";"-";"1";"-";"-";"Identificação do beneficiário do pagamento."
"16";"cpfBenef";"ideBenef";"E";"C";"1";"11";"-";"Informar o CPF do beneficiário.
Validação: Deve ser o mesmo CPF informado no evento de remuneração ou desligamento (S-1200, S-1202, S-1207, S-2299 ou S-2399)."
"17";"infoPgto";"ideBenef";"G";"-";"1-999";"-";"-";"Informações dos pagamentos efetuados."
"18";"dtPgto";"infoPgto";"E";"D";"1";"-";"-";"Informar a data de pagamento.
Validação: A data informada deve estar compreendida no período de apuração (perApur), exceto se procEmi = [2, 4, 22]."
"19";"tpPgto";"infoPgto";"E";"N";"1";"1";"-";"Informar o evento de origem do pagamento.
Valores válidos:
1 - Pagamento de remuneração, conforme apurado em ideDmDev do S-1200
2 - Pagamento de verbas rescisórias conforme apurado em ideDmDev do S-2299
3 - Pagamento de verbas rescisórias conforme apurado em ideDmDev do S-2399
4 - Pagamento de remuneração conforme apurado em ideDmDev do S-1202
5 - Pagamento de benefícios previdenciários, conforme apurado em ideDmDev do S-1207"
"20";"perRef";"infoPgto";"E";"C";"1";"4 ou 7";"-";"Informar a competência declarada no campo {perApur} do evento remuneratório a que se refere o pagamento, no formato AAAA-MM (ou AAAA, se for relativa à folha de 13° salário). Se tpPgto = [2, 3], informar o mês/ano da data de desligamento (ou de término), no formato AAAA-MM.
Validação: Deve corresponder ao conteúdo indicado na relação a seguir:
Se tpPgto = [1], perApur do S-1200;
Se tpPgto = [2], mês/ano de dtDeslig do S-2299 (formato AAAA-MM);
Se tpPgto = [3], mês/ano de dtTerm do S-2399 (formato AAAA-MM);
Se tpPgto = [4], perApur do S-1202;
Se tpPgto = [5], perApur do S-1207."
