"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtReintegr";"eSocial";"G";"-";"1";"-";"-";"Evento Reintegração/Outros Provimentos.
Regras de validação:
REGRA_EMPREGADO_DOMESTICO
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVENTO_POSTERIOR_CAT_OBITO
REGRA_EXISTE_EVENTO_DESLIGAMENTO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_EXTEMP_REINTEGRACAO
REGRA_MESMO_PROCEMI
REGRA_REINTEG_EXCLUSAO_EVENTO
REGRA_RETIFICA_MESMO_VINCULO
REGRA_VALIDA_EMPREGADOR"
"3";"Id";"evtReintegr";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtReintegr";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"8";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"9";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"10";"ideEmpregador";"evtReintegr";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"11";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"12";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"13";"ideVinculo";"evtReintegr";"G";"-";"1";"-";"-";"Informações de identificação do trabalhador e do vínculo."
"14";"cpfTrab";"ideVinculo";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador."
"15";"matricula";"ideVinculo";"E";"C";"1";"1-30";"-";"Matrícula atribuída ao trabalhador pela empresa ou, no caso de servidor público, a matrícula constante no Sistema de Administração de Recursos Humanos do órgão.
Validação: Deve corresponder à matrícula informada pelo empregador no evento S-2200 do respectivo vínculo trabalhista."
"16";"infoReintegr";"evtReintegr";"G";"-";"1";"-";"-";"Informações da reintegração."
"17";"tpReint";"infoReintegr";"E";"N";"1";"1";"-";"Tipo de reintegração/outro provimento.
Valores válidos:
1 - Reintegração por decisão judicial
2 - Reintegração por anistia legal
3 - Reversão de servidor público
4 - Recondução de servidor público
5 - Reinclusão de militar
6 - Revisão de reforma de militar
9 - Outros
Validação: Os tipos [3, 4, 5, 6] só podem ser informados se a natureza jurídica do declarante for Administração Pública (grupo [1])."
"18";"nrProcJud";"infoReintegr";"E";"C";"0-1";"20";"-";"Em caso de reintegração por determinação judicial, preencher com o número do processo.
Validação: Informação obrigatória e exclusiva se tpReint = [1].
Se preenchido, deve ser um processo judicial válido, com 20 (vinte) algarismos."
"19";"nrLeiAnistia";"infoReintegr";"E";"C";"0-1";"5-13";"-";"Informar a lei de anistia, descrevendo seu número e ano de publicação.
Validação: Preenchimento obrigatório e exclusivo se tpReint = [2]."
"20";"dtEfetRetorno";"infoReintegr";"E";"D";"1";"-";"-";"Informar a data do efetivo retorno ao trabalho.
Validação: Deve ser uma data válida, posterior à data de desligamento do trabalhador. Não pode ser posterior a 30 (trinta) dias da data atual."
"21";"dtEfeito";"infoReintegr";"E";"D";"1";"-";"-";"Informar a data de início dos efeitos financeiros da reintegração.
Validação: Deve ser uma data igual ou anterior à data do efetivo retorno ao trabalho e posterior à data do desligamento."
