"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtRmnRPPS";"eSocial";"G";"-";"1";"-";"-";"Evento Remuneração de Servidor vinculado ao Regime Próprio de Previdência Social.
Regras de validação:
REGRA_COMPATIBILIDADE_CATEGORIA_CLASSTRIB
REGRA_COMPATIB_REGIME_PREV
REGRA_CONTROLE_DUPLICIDADE
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVENTO_POSTERIOR_CAT_OBITO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_GERAL_VALIDA_DADOS_TABCONTRIB
REGRA_REMUN_ANUAL_DEZEMBRO
REGRA_REMUN_CATEG_EXISTENTE_RET
REGRA_REMUN_IND_RETIFICACAO
REGRA_REMUN_JA_EXISTE_DESLIGAMENTO
REGRA_REMUN_PERMITE_EXCLUSAO
REGRA_REMUN_TRAB_EXISTENTE_RET
REGRA_REMUN_VALIDA_INFO_COMPLEMENTAR
REGRA_TSV_ATIVO_NA_DTEVENTO
REGRA_VALIDA_EMPREGADOR
REGRA_VALIDA_PERIODO_APURACAO"
"3";"Id";"evtRmnRPPS";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtRmnRPPS";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"indApuracao";"ideEvento";"E";"N";"1";"1";"-";"Indicativo de período de apuração.
Valores válidos:
1 - Mensal
2 - Anual (13° salário)"
"8";"perApur";"ideEvento";"E";"C";"1";"4 ou 7";"-";"Informar o mês/ano (formato AAAA-MM) de referência das informações, se indApuracao for igual a [1], ou apenas o ano (formato AAAA), se indApuracao for igual a [2].
Validação: Deve ser um mês/ano ou ano válido, igual ou posterior ao início da obrigatoriedade dos eventos periódicos para o empregador."
"9";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"10";"procEmi";"ideEvento";"E";"N";"1";"1";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica"
"11";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"12";"ideEmpregador";"evtRmnRPPS";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"13";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ"
"14";"nrInsc";"ideEmpregador";"E";"C";"1";"8 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"15";"ideTrabalhador";"evtRmnRPPS";"G";"-";"1";"-";"-";"Identificação do trabalhador."
"16";"cpfTrab";"ideTrabalhador";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador.
Validação: Deve ser um CPF válido."
"17";"infoComplem";"ideTrabalhador";"G";"-";"0-1";"-";"-";"Grupo preenchido quando o evento de remuneração se referir a trabalhador cuja categoria não está sujeita ao evento de admissão ou ao evento TSVE - Início, bem como para informar remuneração devida pelo órgão sucessor a servidor desligado ainda no sucedido. No caso das categorias em que o evento TSVE - Início for opcional, o preenchimento do grupo somente é exigido se não existir o respectivo evento. As informações complementares são necessárias para correta identificação do trabalhador."
"18";"nmTrab";"infoComplem";"E";"C";"1";"2-70";"-";"Informar o nome do trabalhador."
"19";"dtNascto";"infoComplem";"E";"D";"1";"-";"-";"Preencher com a data de nascimento.
Validação: Deve ser maior ou igual que 01/01/1890 e menor ou igual à data atual."
"20";"sucessaoVinc";"infoComplem";"G";"-";"0-1";"-";"-";"Grupo de informações da sucessão de vínculo."
"21";"cnpjOrgaoAnt";"sucessaoVinc";"E";"C";"1";"14";"-";"Informar o CNPJ do órgão público anterior.
Validação: Deve ser um CNPJ válido e diferente da inscrição do declarante, considerando as particularidades aplicadas à informação de CNPJ de órgão público em S-1000. Além disso, deve possuir 14 (catorze) algarismos e ser diferente do CNPJ base do órgão público declarante (exceto se ideEmpregador/nrInsc tiver 14 (catorze) algarismos) e dos estabelecimentos informados através do evento S-1005."
"22";"matricAnt";"sucessaoVinc";"E";"C";"0-1";"1-30";"-";"Matrícula do trabalhador no órgão público anterior."
"23";"dtExercicio";"sucessaoVinc";"E";"D";"1";"-";"-";"Preencher com a data de exercício do servidor. No caso de transferência do servidor, deve ser preenchida a data inicial do vínculo no primeiro órgão público (data de início do vínculo)."
"24";"observacao";"sucessaoVinc";"E";"C";"0-1";"1-255";"-";"Observação."
"25";"dmDev";"evtRmnRPPS";"G";"-";"1-999";"-";"-";"Identificação de cada um dos demonstrativos de valores devidos ao trabalhador.
Regra de validação:
REGRA_DEMONSTRATIVO"
"26";"ideDmDev";"dmDev";"E";"C";"1";"1-30";"-";"Identificador atribuído pelo órgão público para o demonstrativo de valores devidos ao trabalhador. O ente público pode preencher este campo utilizando-se de um identificador padrão para todos os trabalhadores; no entanto, havendo mais de um demonstrativo relativo a uma mesma competência, devem ser utilizados identificadores diferentes para cada um dos demonstrativos.
Validação: Deve ser um identificador único dentro do mesmo perApur para cada um dos demonstrativos do trabalhador.
Regra de validação:
REGRA_CARACTERE_ESPECIAL"
"27";"codCateg";"dmDev";"E";"N";"1";"3";"-";"Preencher com o código da categoria do trabalhador.
Validação: Deve ser um código válido e existente na Tabela 01."
