"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtTSVAltContr";"eSocial";"G";"-";"1";"-";"-";"Evento Trabalhador Sem Vínculo de Emprego/Estatutário - Alteração Contratual.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVENTO_POSTERIOR_CAT_OBITO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_GERAL_VALIDA_DADOS_TABCONTRIB
REGRA_MESMO_PROCEMI
REGRA_RETIFICA_MESMO_VINCULO
REGRA_TSV_ATIVO_NA_DTEVENTO
REGRA_VALIDA_TRABALHADOR_BASE_CPF"
"3";"Id";"evtTSVAltContr";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtTSVAltContr";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"8";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"9";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"10";"ideEmpregador";"evtTSVAltContr";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"11";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"12";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"13";"ideTrabSemVinculo";"evtTSVAltContr";"G";"-";"1";"-";"-";"Identificação do Trabalhador Sem Vínculo de Emprego/Estatutário - TSVE."
"14";"cpfTrab";"ideTrabSemVinculo";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador."
"15";"matricula";"ideTrabSemVinculo";"E";"C";"0-1";"1-30";"-";"Matrícula atribuída ao trabalhador pela empresa.
Validação: Deve corresponder à matrícula informada pelo empregador no evento S-2300 do respectivo contrato. Não preencher no caso de TSVE sem informação de matrícula no evento S-2300."
"16";"codCateg";"ideTrabSemVinculo";"E";"N";"0-1";"3";"-";"Preencher com o código da categoria do trabalhador.
Informar somente no caso de TSVE sem informação de matrícula no evento S-2300.
Validação: Informação obrigatória e exclusiva se não houver preenchimento de matricula. Se informado, deve ser um código válido e existente na Tabela 01."
