"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtTSVTermino";"eSocial";"G";"-";"1";"-";"-";"Evento Trabalhador Sem Vínculo de Emprego/Estatutário - Término.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EVENTOS_EXTEMP
REGRA_EVENTO_POSTERIOR_CAT_OBITO
REGRA_EVE_FOPAG_SIMPLIFICADO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_GERAL_VALIDA_DADOS_TABCONTRIB
REGRA_MESMO_PROCEMI
REGRA_MUDANCA_CPF
REGRA_REMUN_IND_RETIFICACAO
REGRA_REMUN_PERMITE_EXCLUSAO
REGRA_RETIFICA_MESMO_VINCULO
REGRA_RUBRICA_COMPATIVEL_CATEGORIA
REGRA_TSV_ATIVO_NA_DTEVENTO
REGRA_VALIDA_EMPREGADOR
REGRA_VALIDA_PERIODO_APURACAO"
"3";"Id";"evtTSVTermino";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtTSVTermino";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"indRetif";"ideEvento";"E";"N";"1";"1";"-";"Informe [1] para arquivo original ou [2] para arquivo de retificação.
Valores válidos:
1 - Original
2 - Retificação"
"6";"nrRecibo";"ideEvento";"E";"C";"0-1";"23";"-";"Preencher com o número do recibo do arquivo a ser retificado.
Validação: O preenchimento é obrigatório se indRetif = [2].
Deve ser um recibo de entrega válido, correspondente ao arquivo que está sendo retificado."
"7";"indGuia";"ideEvento";"E";"N";"0-1";"1";"-";"Indicativo do tipo de guia.
Valores válidos:
1 - Documento de Arrecadação do eSocial - DAE"
"8";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"9";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"10";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"11";"ideEmpregador";"evtTSVTermino";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"12";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"13";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"14";"ideTrabSemVinculo";"evtTSVTermino";"G";"-";"1";"-";"-";"Identificação do Trabalhador Sem Vínculo de Emprego/Estatutário - TSVE."
"15";"cpfTrab";"ideTrabSemVinculo";"E";"C";"1";"11";"-";"Preencher com o número do CPF do trabalhador."
"16";"matricula";"ideTrabSemVinculo";"E";"C";"0-1";"1-30";"-";"Matrícula atribuída ao trabalhador pela empresa.
Validação: Deve corresponder à matrícula informada pelo empregador no evento S-2300 do respectivo contrato. Não preencher no caso de TSVE sem informação de matrícula no evento S-2300."
"17";"codCateg";"ideTrabSemVinculo";"E";"N";"0-1";"3";"-";"Preencher com o código da categoria do trabalhador.
Informar somente no caso de TSVE sem informação de matrícula no evento S-2300.
Validação: Informação obrigatória e exclusiva se não houver preenchimento de matricula. Se informado, deve ser um código válido e existente na Tabela 01."
"18";"infoTSVTermino";"evtTSVTermino";"G";"-";"1";"-";"-";"TSVE - Término."
"19";"dtTerm";"infoTSVTermino";"E";"D";"1";"-";"-";"Data do término.
Validação: Deve ser uma data igual ou anterior à data atual acrescida de 10 (dez) dias."
"20";"mtvDesligTSV";"infoTSVTermino";"E";"C";"0-1";"2";"-";"Motivo do término.
Valores válidos:
01 - Exoneração do diretor não empregado sem justa causa, por deliberação da assembleia, dos sócios cotistas ou da autoridade competente
02 - Término de mandato do diretor não empregado que não tenha sido reconduzido ao cargo
03 - Exoneração a pedido de diretor não empregado
04 - Exoneração do diretor não empregado por culpa recíproca ou força maior
05 - Morte do diretor não empregado
06 - Exoneração do diretor não empregado por falência, encerramento ou supressão de parte da empresa
07 - Mudança de CPF
99 - Outros
Validação: Informação obrigatória se o código de categoria no Registro de Eventos Trabalhistas - RET for igual a [721] ou se o grupo mudancaCPF estiver preenchido. Não preencher nas demais situações."
"21";"pensAlim";"infoTSVTermino";"E";"N";"0-1";"1";"-";"Indicativo de pensão alimentícia para fins de retenção de FGTS.
Valores válidos:
0 - Não existe pensão alimentícia
1 - Percentual de pensão alimentícia
2 - Valor de pensão alimentícia
3 - Percentual e valor de pensão alimentícia
Validação: Informação obrigatória se o código de categoria no RET for igual a [201, 202, 721] e se dtTerm for posterior a 21/04/2019.
Informação opcional se o código de categoria no RET for igual a [201, 202, 721] e se dtTerm for igual ou anterior a 21/04/2019.
Não preencher nas demais situações."
"22";"percAliment";"infoTSVTermino";"E";"N";"0-1";"1-5";"2";"Percentual a ser destinado a pensão alimentícia.
Validação: Deve ser maior que 0 (zero) e menor ou igual a 100 (cem).
Informação obrigatória e exclusiva se pensAlim = [1, 3]."
"23";"vrAlim";"infoTSVTermino";"E";"N";"0-1";"1-14";"2";"Valor da pensão alimentícia.
Validação: Deve ser maior que 0 (zero).
Informação obrigatória e exclusiva se pensAlim = [2, 3]."
"24";"nrProcTrab";"infoTSVTermino";"E";"C";"0-1";"20";"-";"Número que identifica o processo trabalhista, quando o término de TSVE se der por decisão judicial.
Validação: Se preenchido, deve ser um processo judicial válido, com 20 (vinte) algarismos."
"25";"mudancaCPF";"infoTSVTermino";"G";"-";"0-1";"-";"-";"Informação do novo CPF do trabalhador."
"26";"novoCPF";"mudancaCPF";"E";"C";"1";"11";"-";"Preencher com o novo CPF do trabalhador.
Validação: Deve ser um CPF válido e diferente do CPF do empregador e do antigo CPF do trabalhador."
"27";"verbasResc";"infoTSVTermino";"G";"-";"0-1";"-";"-";"Grupo onde são prestadas as informações relativas às verbas rescisórias do diretor não empregado, com FGTS."
"28";"dmDev";"verbasResc";"G";"-";"1-50";"-";"-";"Identificação de cada um dos demonstrativos de valores devidos ao trabalhador.
Regra de validação:
REGRA_DEMONSTRATIVO"
"29";"ideDmDev";"dmDev";"E";"C";"1";"1-30";"-";"Identificador atribuído pela empresa para o demonstrativo de valores devidos ao trabalhador relativo a verbas rescisórias.
Validação: Deve ser um identificador único dentro da mesma competência (mês/ano da data de término) para cada um dos demonstrativos do trabalhador.
Regra de validação:
REGRA_CARACTERE_ESPECIAL"
"30";"indRRA";"dmDev";"E";"C";"0-1";"1";"-";"Indicativo de Rendimentos Recebidos Acumuladamente - RRA.
Somente preencher este campo se for um demonstrativo de RRA.
Valores válidos:
S - Sim"
"31";"infoRRA";"dmDev";"G";"-";"0-1";"-";"-";"Informações complementares relativas a Rendimentos Recebidos Acumuladamente - RRA."
"32";"tpProcRRA";"infoRRA";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de processo.
Valores válidos:
1 - Administrativo
2 - Judicial"
"33";"nrProcRRA";"infoRRA";"E";"C";"0-1";"17, 20 ou 21";"-";"Informar o número do processo/requerimento administrativo/judicial.
Validação: Informação obrigatória se tpProcRRA = [2] e opcional se tpProcRRA = [1]. Deve ser número de processo válido e:
a) Se tpProcRRA = [1], deve possuir 17 (dezessete) ou 21 (vinte e um) algarismos;
b) Se tpProcRRA = [2], deve possuir 20 (vinte) algarismos."
"34";"descRRA";"infoRRA";"E";"C";"1";"1-50";"-";"Descrição dos Rendimentos Recebidos Acumuladamente - RRA."
"35";"qtdMesesRRA";"infoRRA";"E";"N";"1";"1-4";"1";"Número de meses relativo aos Rendimentos Recebidos Acumuladamente - RRA."
"36";"despProcJud";"infoRRA";"G";"-";"0-1";"-";"-";"Detalhamento das despesas com processo judicial."
"37";"vlrDespCustas";"despProcJud";"E";"N";"1";"1-14";"2";"Preencher com o valor das despesas com custas judiciais."
"38";"vlrDespAdvogados";"despProcJud";"E";"N";"1";"1-14";"2";"Preencher com o valor total das despesas com advogado(s)."
"39";"ideAdv";"infoRRA";"G";"-";"0-99";"-";"-";"Identificação dos advogados."
"40";"tpInsc";"ideAdv";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
