"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtTabEstab";"eSocial";"G";"-";"1";"-";"-";"Evento Tabela de Estabelecimentos, Obras ou Unidades de Órgãos Públicos.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_TABESTAB_VALIDA_ESTABELECIMENTO
REGRA_TABESTAB_VALIDA_INFO_CNO
REGRA_TABGERAL_ALTERACAO_PERIODO_CONFLITANTE
REGRA_TABGERAL_EXISTE_REGISTRO_ALTERADO
REGRA_TABGERAL_EXISTE_REGISTRO_EXCLUIDO
REGRA_TABGERAL_INCLUSAO_PERIODO_CONFLITANTE
REGRA_TAB_PERMITE_EXCLUSAO
REGRA_VALIDA_DT_FUTURA"
"3";"Id";"evtTabEstab";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtTabEstab";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"6";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
9 - Aplicativo governamental - Integração com a Junta Comercial
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"7";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"8";"ideEmpregador";"evtTabEstab";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"9";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"10";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"11";"infoEstab";"evtTabEstab";"CG";"-";"1";"-";"-";"Informações do estabelecimento."
"12";"inclusao";"infoEstab";"G";"-";"0-1";"-";"-";"Inclusão de novas informações."
"13";"ideEstab";"inclusao";"G";"-";"1";"-";"-";"Identificação do estabelecimento, obra de construção civil ou unidade de órgão público e período de validade das informações."
"14";"tpInsc";"ideEstab";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
3 - CAEPF
4 - CNO
Validação: Se classTrib em S-1000 = [04], deve ser igual a [1]."
"15";"nrInsc";"ideEstab";"E";"C";"1";"12 ou 14";"-";"Informar o número de inscrição do estabelecimento (inclusive Sociedade em Conta de Participação - SCP), obra de construção civil ou órgão público de acordo com o tipo de inscrição indicado no campo ideEstab/tpInsc.
Validação: Deve ser compatível com o conteúdo do campo ideEstab/tpInsc. Deve ser um identificador válido, constante das bases da RFB, vinculado ao empregador."
