"#";"Grupo/Campo";"Grupo Pai";"Elem.";"Tipo";"Ocor.";"Tamanho";"Dec.";"Descrição"
"1";"eSocial";"";"G";"-";"1";"-";"-";"eSocial"
"2";"evtTabRubrica";"eSocial";"G";"-";"1";"-";"-";"Evento Tabela de Rubricas.
Regras de validação:
REGRA_ENVIO_PROC_FECHAMENTO
REGRA_EXISTE_INFO_EMPREGADOR
REGRA_TABGERAL_ALTERACAO_PERIODO_CONFLITANTE
REGRA_TABGERAL_EXISTE_REGISTRO_ALTERADO
REGRA_TABGERAL_EXISTE_REGISTRO_EXCLUIDO
REGRA_TABGERAL_INCLUSAO_PERIODO_CONFLITANTE
REGRA_TABRUBR_INCLUSAO
REGRA_TAB_PERMITE_EXCLUSAO
REGRA_VALIDA_DT_FUTURA"
"3";"Id";"evtTabRubrica";"A";"C";"1";"36";"-";"Identificação única do evento.
Regra de validação:
REGRA_VALIDA_ID_EVENTO"
"4";"ideEvento";"evtTabRubrica";"G";"-";"1";"-";"-";"Informações de identificação do evento."
"5";"tpAmb";"ideEvento";"E";"N";"1";"1";"-";"Identificação do ambiente.
Valores válidos:
1 - Produção
2 - Produção restrita
7 - Validação (uso interno)
8 - Teste (uso interno)
9 - Desenvolvimento (uso interno)"
"6";"procEmi";"ideEvento";"E";"N";"1";"1-2";"-";"Processo de emissão do evento.
Valores válidos:
1 - Aplicativo do empregador
2 - Aplicativo governamental - Simplificado Pessoa Física
3 - Aplicativo governamental - Web Geral
4 - Aplicativo governamental - Simplificado Pessoa Jurídica
22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico"
"7";"verProc";"ideEvento";"E";"C";"1";"1-20";"-";"Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento."
"8";"ideEmpregador";"evtTabRubrica";"G";"-";"1";"-";"-";"Informações de identificação do empregador."
"9";"tpInsc";"ideEmpregador";"E";"N";"1";"1";"-";"Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.
Valores válidos:
1 - CNPJ
2 - CPF"
"10";"nrInsc";"ideEmpregador";"E";"C";"1";"8, 11 ou 14";"-";"Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000."
"11";"infoRubrica";"evtTabRubrica";"CG";"-";"1";"-";"-";"Identificação da operação (inclusão, alteração ou exclusão) e das informações da rubrica."
"12";"inclusao";"infoRubrica";"G";"-";"0-1";"-";"-";"Inclusão de novas informações."
"13";"ideRubrica";"inclusao";"G";"-";"1";"-";"-";"Identificação da rubrica e período de validade das informações."
"14";"codRubr";"ideRubrica";"E";"C";"1";"1-30";"-";"Informar o código atribuído pelo empregador que identifica a rubrica em sua folha de pagamento.
Validação: O código não pode conter a expressão 'eSocial' nas 7 (sete) primeiras posições.
Regra de validação:
REGRA_CARACTERE_ESPECIAL"
"15";"ideTabRubr";"ideRubrica";"E";"C";"1";"1-8";"-";"Preencher com o identificador da Tabela de Rubricas no âmbito do empregador.
Validação: O identificador não pode conter a expressão 'eSocial' nas 7 (sete) primeiras posições.
Regra de validação:
REGRA_CARACTERE_ESPECIAL"
"16";"iniValid";"ideRubrica";"E";"C";"1";"7";"-";"Preencher com o mês e ano de início da validade das informações prestadas no evento, no formato AAAA-MM.
Validação: Deve ser uma data válida, igual ou posterior à data de início de obrigatoriedade deste evento para o empregador no eSocial, no formato AAAA-MM."
"17";"fimValid";"ideRubrica";"E";"C";"0-1";"7";"-";"Preencher com o mês e ano de término da validade das informações, se houver.
Validação: Se informado, deve estar no formato AAAA-MM e ser um período igual ou posterior a iniValid."
"18";"dadosRubrica";"inclusao";"G";"-";"1";"-";"-";"Detalhamento das informações da rubrica."
"19";"dscRubr";"dadosRubrica";"E";"C";"1";"1-100";"-";"Informar a descrição (nome) da rubrica no sistema de folha de pagamento da empresa."
"20";"natRubr";"dadosRubrica";"E";"N";"1";"4";"-";"Informar o código de classificação da rubrica.
Validação: Deve ser um código válido e existente na Tabela 03."
"21";"tpRubr";"dadosRubrica";"E";"N";"1";"1";"-";"Tipo de rubrica.
Valores válidos:
1 - Vencimento, provento ou pensão
2 - Desconto
3 - Informativa
4 - Informativa dedutora"
